hurricane_id,x,y,width,height,frame_number,confidence,alive
57,580.5,348.0,129.0,112.0,4,0.7811657190322876,1
57,581.5,346.0,131.0,110.0,5,0.7705491781234741,1
57,581.5,346.0,131.0,110.0,6,0.7704843282699585,1
57,579.0,339.5,122.0,99.0,7,0.662092924118042,1
57,578.5,337.0,125.0,98.0,8,0.7263342142105103,1
57,578.5,337.5,123.0,99.0,9,0.781643271446228,1
57,578.5,338.5,127.0,105.0,10,0.760707437992096,1
57,578.0,341.5,128.0,111.0,11,0.7581909894943237,1
57,577.0,341.5,128.0,111.0,12,0.6994625329971313,1
57,575.5,339.5,131.0,111.0,13,0.644645631313324,1
57,575.0,339.5,138.0,111.0,14,0.7381753921508789,1
57,573.5,340.0,139.0,112.0,15,0.5364981293678284,1
57,572.5,338.5,141.0,111.0,16,0.7736425399780273,1
57,572.0,337.5,142.0,111.0,17,0.797714352607727,1
57,572.0,336.5,142.0,111.0,18,0.8178755640983582,1
57,571.5,337.0,147.0,108.0,19,0.6702293753623962,1
57,569.0,336.0,154.0,114.0,20,0.1299489438533783,1
57,568.0,337.0,156.0,114.0,21,0.16111519932746887,1
57,568.5,336.5,155.0,115.0,22,0.291123628616333,1
57,563.5,330.5,153.0,107.0,23,0.6974751949310303,1
57,562.0,330.5,152.0,107.0,24,0.7291020750999451,1
57,562.5,329.5,153.0,109.0,25,0.7203547954559326,1
57,563.0,329.5,150.0,107.0,26,0.726224958896637,1
57,562.5,329.0,153.0,108.0,27,0.735310435295105,1
57,563.5,330.0,155.0,108.0,28,0.7509346008300781,1
57,565.0,329.5,154.0,107.0,29,0.7571436166763306,1
57,565.0,329.5,156.0,105.0,30,0.7400496006011963,1
57,566.0,329.5,156.0,107.0,31,0.6900548934936523,1
57,571.5,333.5,171.0,113.0,32,0.7787848711013794,1
57,571.0,333.5,174.0,113.0,33,0.7844504117965698,1
57,562.5,329.0,171.0,110.0,34,0.6712959408760071,1
57,561.0,329.0,172.0,110.0,35,0.7577667236328125,1
57,559.5,329.0,169.0,110.0,36,0.7413593530654907,1
57,559.5,328.0,161.0,106.0,37,0.643997073173523,1
57,559.0,326.0,164.0,108.0,38,0.6396992206573486,1
57,555.5,325.0,159.0,108.0,39,0.6603378057479858,1
57,559.0,326.5,164.0,109.0,40,0.746498167514801,1
57,557.5,326.5,163.0,109.0,41,0.7355755567550659,1
57,557.5,326.0,165.0,108.0,42,0.7025499939918518,1
57,553.5,325.0,161.0,108.0,43,0.5912050008773804,1
57,540.0,317.5,132.0,99.0,44,0.6974786520004272,1
57,538.0,316.5,132.0,99.0,45,0.7578768134117126,1
57,539.0,318.0,136.0,100.0,46,0.6267061233520508,1
57,539.5,318.5,139.0,99.0,47,0.4267454445362091,1
57,539.5,318.5,139.0,99.0,48,0.2961333990097046,1
57,536.0,317.5,132.0,99.0,49,0.7887930870056152,1
57,535.5,318.0,131.0,96.0,50,0.7861207723617554,1
57,536.5,319.0,133.0,96.0,51,0.7792455554008484,1
57,535.0,319.0,128.0,96.0,52,0.7867363095283508,1
57,533.5,319.5,131.0,95.0,53,0.793526291847229,1
57,533.5,319.5,139.0,99.0,54,0.7980136871337891,1
57,536.0,319.5,138.0,99.0,55,0.796284556388855,1
57,534.5,320.0,139.0,100.0,56,0.7665046453475952,1
57,534.0,319.5,138.0,101.0,57,0.8284606337547302,1
57,533.5,319.5,139.0,99.0,58,0.8458567261695862,1
57,539.0,320.0,138.0,102.0,59,0.8094111680984497,1
57,538.0,319.5,142.0,103.0,60,0.8357591032981873,1
57,537.0,316.0,142.0,102.0,61,0.867210865020752,1
57,536.5,314.5,143.0,103.0,62,0.8654265403747559,1
57,536.0,314.5,142.0,103.0,63,0.865464985370636,1
57,538.5,315.0,145.0,106.0,64,0.8282098174095154,1
57,538.5,315.0,145.0,106.0,65,0.8281844854354858,1
57,538.5,316.0,153.0,106.0,66,0.8393087387084961,1
57,538.0,314.5,154.0,107.0,67,0.8474997282028198,1
57,538.0,314.5,154.0,107.0,68,0.8476547002792358,1
57,538.5,313.0,155.0,106.0,69,0.8486446738243103,1
57,538.5,312.5,155.0,107.0,70,0.8507671356201172,1
57,539.0,313.0,158.0,106.0,71,0.8276691436767578,1
57,539.0,312.5,158.0,105.0,72,0.8425593376159668,1
57,538.5,312.0,157.0,104.0,73,0.8649123907089233,1
57,539.0,311.5,164.0,107.0,74,0.8267226219177246,1
57,539.0,313.5,162.0,103.0,75,0.48330605030059814,1
57,544.0,317.0,166.0,106.0,76,0.6367536783218384,1
57,542.5,317.0,165.0,104.0,77,0.7132676839828491,1
57,542.5,316.0,171.0,108.0,78,0.6336097717285156,1
57,543.5,315.0,157.0,94.0,79,0.5786551237106323,1
57,543.0,315.0,158.0,96.0,80,0.6581062078475952,1
57,542.0,314.5,160.0,97.0,81,0.6678411960601807,1
57,543.5,314.5,165.0,99.0,82,0.8150041103363037,1
57,543.5,314.0,163.0,96.0,83,0.6202173233032227,1
57,541.0,314.5,170.0,99.0,84,0.7200726866722107,1
57,541.0,315.0,170.0,98.0,85,0.806591272354126,1
57,544.5,316.5,177.0,101.0,86,0.7913334369659424,1
57,546.5,316.0,167.0,98.0,87,0.7643759250640869,1
57,545.0,316.0,172.0,100.0,88,0.7823058366775513,1
57,539.0,314.5,168.0,101.0,89,0.6201638579368591,1
57,535.5,312.5,165.0,101.0,90,0.731842041015625,1
57,536.0,312.0,160.0,100.0,91,0.8018217086791992,1
57,536.0,312.0,164.0,104.0,92,0.8072420358657837,1
57,537.5,312.5,161.0,103.0,93,0.8108954429626465,1
57,534.5,312.5,165.0,101.0,94,0.7871220111846924,1
57,535.0,312.0,166.0,102.0,95,0.7983865141868591,1
57,536.5,312.0,165.0,102.0,96,0.7028087973594666,1
57,539.5,315.5,169.0,103.0,97,0.7758946418762207,1
57,535.0,312.0,168.0,102.0,98,0.6867895126342773,1
57,542.5,314.5,161.0,101.0,99,0.7375094890594482,1
57,543.0,315.0,162.0,102.0,100,0.7423233985900879,1
57,542.5,315.0,163.0,102.0,101,0.749657928943634,1
57,536.5,313.0,159.0,102.0,102,0.6770686507225037,1
57,536.5,313.0,159.0,102.0,103,0.6768817901611328,1
57,535.5,314.0,159.0,104.0,104,0.1486063301563263,1
57,533.5,316.0,157.0,104.0,105,0.14677637815475464,1
57,533.5,316.0,159.0,104.0,106,0.17889851331710815,1
57,531.0,316.0,158.0,104.0,107,0.2181536853313446,1
57,533.0,317.0,158.0,104.0,108,0.3341538906097412,1
57,541.0,320.0,166.0,100.0,109,0.11976286768913269,1
57,516.5,307.5,141.0,91.0,117,0.20897462964057922,1
57,507.5,303.0,113.0,78.0,118,0.18444567918777466,1
57,506.5,301.0,103.0,72.0,119,0.43490350246429443,1
57,505.5,300.5,103.0,73.0,120,0.3913223445415497,1
57,507.5,300.0,91.0,64.0,121,0.12212672829627991,1
57,506.5,299.0,91.0,64.0,122,0.11520496010780334,1
57,506.5,300.0,99.0,70.0,123,0.4017563462257385,1
57,505.0,299.5,102.0,73.0,124,0.707197904586792,1
57,504.5,300.0,103.0,72.0,125,0.6702947020530701,1
57,504.0,301.0,104.0,74.0,126,0.5084388852119446,1
57,502.5,300.5,103.0,73.0,127,0.4679977297782898,1
57,504.0,301.0,104.0,74.0,128,0.4925999045372009,1
57,505.0,301.0,104.0,78.0,129,0.4632437527179718,1
57,504.0,301.0,104.0,78.0,130,0.42268604040145874,1
57,506.0,299.5,98.0,75.0,131,0.43352165818214417,1
57,507.0,299.5,100.0,79.0,132,0.5467049479484558,1
57,507.0,299.5,100.0,79.0,133,0.5433550477027893,1
57,507.5,299.0,109.0,86.0,134,0.5228222608566284,1
57,507.0,300.0,114.0,90.0,135,0.7097148299217224,1
57,505.5,300.0,117.0,90.0,136,0.7404361963272095,1
57,506.0,299.0,116.0,90.0,137,0.7790721654891968,1
57,502.0,302.5,116.0,91.0,138,0.4688138961791992,1
57,502.5,302.0,115.0,90.0,139,0.6022348999977112,1
57,503.0,302.0,116.0,92.0,140,0.6684068441390991,1
57,503.5,303.0,117.0,92.0,141,0.6905494332313538,1
57,502.5,303.5,115.0,89.0,142,0.6852302551269531,1
57,502.5,304.0,115.0,86.0,143,0.6359996795654297,1
57,504.0,304.0,132.0,94.0,144,0.80792236328125,1
57,504.0,305.0,132.0,96.0,145,0.8518706560134888,1
57,506.0,305.5,134.0,95.0,146,0.8597943782806396,1
57,504.0,305.0,128.0,94.0,147,0.8746975660324097,1
57,505.5,304.5,129.0,95.0,148,0.8808410167694092,1
57,506.0,305.5,124.0,91.0,149,0.8773194551467896,1
57,505.0,305.5,122.0,91.0,150,0.8723039627075195,1
57,506.5,307.5,119.0,93.0,151,0.8458497524261475,1
57,506.5,307.0,121.0,92.0,152,0.8501542806625366,1
57,505.5,307.0,123.0,94.0,153,0.863021731376648,1
57,506.0,304.5,120.0,93.0,154,0.7280972003936768,1
57,508.0,305.0,122.0,92.0,155,0.5140809416770935,1
57,508.5,305.0,123.0,92.0,156,0.4970180094242096,1
57,506.0,304.5,120.0,93.0,157,0.6281326413154602,1
57,501.0,304.5,122.0,97.0,158,0.8209292888641357,1
57,501.0,304.5,122.0,97.0,159,0.8211683034896851,1
57,500.5,305.0,125.0,98.0,160,0.8490765690803528,1
57,503.0,303.5,122.0,97.0,161,0.845752477645874,1
57,503.5,304.5,123.0,97.0,162,0.853595495223999,1
57,504.0,305.0,126.0,100.0,163,0.8471314311027527,1
57,497.0,305.0,142.0,102.0,164,0.8755247592926025,1
57,496.5,306.0,139.0,102.0,165,0.8750954866409302,1
57,495.5,306.5,139.0,101.0,166,0.8705713152885437,1
57,495.5,305.5,133.0,99.0,167,0.8746430277824402,1
57,495.5,305.5,133.0,99.0,168,0.876518189907074,1
57,498.0,306.0,140.0,98.0,169,0.8635213375091553,1
57,497.5,305.5,141.0,97.0,170,0.8631795644760132,1
57,496.5,306.0,139.0,94.0,171,0.8674654364585876,1
57,495.0,305.0,142.0,94.0,172,0.867699146270752,1
57,496.0,305.5,138.0,93.0,173,0.8595128059387207,1
57,501.0,305.0,128.0,96.0,174,0.8125262260437012,1
57,502.0,306.0,130.0,96.0,175,0.8313872814178467,1
57,503.0,306.0,128.0,98.0,176,0.8306968212127686,1
57,503.5,306.0,125.0,96.0,177,0.8217723369598389,1
57,504.0,306.5,128.0,97.0,178,0.8037364482879639,1
57,500.0,305.0,122.0,94.0,179,0.7924700975418091,1
57,500.0,305.0,120.0,92.0,180,0.7876656651496887,1
57,496.5,303.5,113.0,93.0,181,0.8016722202301025,1
57,498.0,306.0,116.0,98.0,182,0.7881499528884888,1
57,498.0,306.0,116.0,98.0,183,0.7881311178207397,1
57,498.0,306.5,116.0,99.0,184,0.8361446857452393,1
57,499.5,306.0,115.0,98.0,185,0.834763765335083,1
57,499.5,305.5,115.0,99.0,186,0.8311423063278198,1
57,499.5,304.0,113.0,96.0,187,0.7809833288192749,1
57,499.0,304.0,114.0,96.0,188,0.7726406455039978,1
57,495.5,304.0,111.0,94.0,189,0.7556657791137695,1
57,494.5,302.0,117.0,96.0,190,0.7763869762420654,1
57,494.0,301.5,114.0,93.0,191,0.8146238327026367,1
57,494.0,301.0,114.0,94.0,192,0.8272582292556763,1
57,494.0,301.0,114.0,94.0,193,0.8277419209480286,1
57,494.0,302.0,114.0,94.0,194,0.8295786380767822,1
57,494.0,302.0,114.0,94.0,195,0.8295713067054749,1
57,495.5,303.5,113.0,95.0,196,0.29576438665390015,1
57,494.0,302.5,110.0,91.0,197,0.49228551983833313,1
57,494.0,302.0,110.0,92.0,198,0.5415763854980469,1
57,493.5,301.5,109.0,89.0,199,0.3267057538032532,1
57,493.5,302.0,109.0,90.0,200,0.2889019548892975,1
57,492.0,303.5,114.0,91.0,201,0.6689921617507935,1
57,491.5,303.0,115.0,92.0,202,0.7591241002082825,1
57,491.0,304.0,114.0,90.0,203,0.6725786924362183,1
57,492.0,303.5,118.0,95.0,204,0.7851642370223999,1
57,493.5,303.5,119.0,97.0,205,0.7917711734771729,1
57,490.0,302.0,116.0,92.0,206,0.7930160760879517,1
57,490.5,302.0,117.0,94.0,207,0.805399477481842,1
57,491.0,301.5,118.0,95.0,208,0.8082705736160278,1
57,489.5,301.0,115.0,92.0,209,0.8007047176361084,1
57,489.5,299.0,117.0,92.0,210,0.8404869437217712,1
57,486.0,300.5,110.0,89.0,211,0.6784918308258057,1
57,486.0,299.5,110.0,89.0,212,0.5867089033126831,1
57,486.5,299.5,113.0,89.0,213,0.6286802291870117,1
57,487.5,298.5,111.0,87.0,214,0.6982396245002747,1
57,490.0,298.0,112.0,82.0,215,0.7267614006996155,1
57,491.0,298.0,116.0,78.0,216,0.3465889096260071,1
57,491.5,298.5,115.0,77.0,217,0.2858316898345947,1
57,488.5,299.0,109.0,80.0,218,0.38881903886795044,1
57,487.0,299.0,110.0,80.0,219,0.21654823422431946,1
57,487.0,301.0,110.0,82.0,220,0.49843788146972656,1
57,486.0,300.5,112.0,81.0,221,0.46795985102653503,1
57,484.0,302.5,112.0,81.0,222,0.2890174686908722,1
57,484.0,302.5,112.0,81.0,223,0.2933313548564911,1
57,484.0,302.5,112.0,83.0,224,0.2718871831893921,1
57,479.0,301.0,110.0,84.0,225,0.643837571144104,1
57,478.5,301.0,111.0,84.0,226,0.6426055431365967,1
57,479.0,301.0,112.0,84.0,227,0.6387555003166199,1
57,479.5,300.5,115.0,85.0,228,0.7080309391021729,1
57,479.5,300.5,115.0,85.0,229,0.7073649168014526,1
57,478.0,300.0,116.0,86.0,230,0.777421236038208,1
57,474.0,297.5,116.0,89.0,231,0.6809054613113403,1
57,471.0,295.5,108.0,85.0,232,0.8286037445068359,1
57,468.5,295.5,107.0,83.0,233,0.8136792182922363,1
57,468.0,295.0,106.0,84.0,234,0.802685022354126,1
57,466.5,293.0,103.0,82.0,235,0.8344542384147644,1
57,468.5,293.0,105.0,82.0,236,0.8175076842308044,1
57,467.5,293.5,103.0,81.0,237,0.816650390625,1
57,467.0,293.5,102.0,81.0,238,0.8160285949707031,1
57,466.0,293.5,100.0,79.0,239,0.8144112825393677,1
57,467.5,294.0,101.0,82.0,240,0.8088243007659912,1
57,466.5,293.0,95.0,76.0,241,0.8450735807418823,1
57,465.5,292.5,95.0,75.0,242,0.8402421474456787,1
57,466.0,291.5,94.0,75.0,243,0.8534190654754639,1
57,466.0,291.5,96.0,75.0,244,0.865872859954834,1
57,467.0,293.0,98.0,80.0,245,0.863423228263855,1
